,S.5.29.6,S.6.5.2,S.6.5.7,S.5.29.5,S.6.5.9,S.7.5.29,S.14.5.29,S.5.6.5,S.8.5.29
Algae 1,0.6,0,0,0,0,0,0,0,0
ankistrodesmus,1,0,0.4,0.6,0.8,8.461538462,4,0,33
Asterionella,0,0,0,0,0,0,8,0,26
big spikey,0,0,0,0.2,0,0,0,0,0
Centric Diatom,18.8,3.4,3.4,56.2,12.8,32.71794872,82,38,177
Chaetosphaeridium,0,0,0,0,0,0,0,1,0
Chlamydomonadaceae,10.6,40.6,54.8,38.2,55.4,26.51282051,83,17,88
Chlamydomonadaceae small,0,0,0,0,0,86.87179487,916,367,553
Chroococcus,0,0,0,0.2,0,0,0,0,0
Closterium,1.2,0.2,0.2,2.2,0.4,0.564102564,1,0,5
coccoid cyanobacteria,77.2,73,215.6,389.2,27,0,688,0,1385
Cocconeis/Achnanthes,0,0,0,0,0,0,1,378,5
colorless circles,17.4,56.2,56.2,6.6,25.8,819.0769231,0,0,0
Cosmarium,0.2,0,0,0.2,0.4,0,1,0,0
crucigenia,0,4.2,0,0,0,0,0,0,0
cryptomonas,0,3.6,0,0.6,1.2,1.128205128,7,6,2
Cymbellaceae,4.2,1.6,14.2,18.4,8.6,15.23076923,21,46,37
Diatom 1,13.4,21,20.8,36.8,38.8,1.128205128,21,3,0
Diatom 2 (rectangular),0.6,0,0,0,0,0,0,0,0
Diatom Navicula,4.2,14,8.6,18.8,16.4,24.3,28,42,24
Diatoma,0.2,0,0,0,0,0,0,0,0
Diatom long small,0,0,0,0,0,216.0512821,1540,217,0
Dictyosophaerium,20.2,99.2,53.2,177,555.4,0,378,0,8
Dinobryon,0,0,0,0,0,0,5,0,0
Elakatothrix,2.6,6.6,37.6,5.4,28.8,0,0,0,0
Eucapsis,0,0,0,1.6,0,0,10,0,20
Euglena,0,0,0,0,0,0,0,0,1
Eunotia,0,0,0,0,0,0,1,0,19
filament 1,0,0,0,0,0,0,0,16,18
filamentous cyanobacteria,45,102.8,69.4,64.6,138.2,82.92307692,272,645,457
Flagilaria,1.4,0.6,1.6,8.8,26.4,14.1025641,268,66,240
Goimphonemaceae,0.2,0,0,0,0,0,0,0,0
gonium,3.2,6.4,9.6,9.2,9.6,0,0,31,0
green filament,1.8,0.8,0,0,0,0,0,0,0
Kirchneriella,0,0,0,0,0,0,6,0,3
Lagerheimia,0,0,0,0,0,0,0,0,1
Large circle,1.4,0,1.4,3.2,0.6,0,0,0,0
Medium circle,11.4,9.8,17.4,29.2,20.2,0,0,0,0
Melosira,0.4,0,0.2,0.6,0,0,0,0,0
Monoraphidium,25.2,9.6,55.2,109.2,34.8,229.5897436,687,780,1107
Mougeotia,0.8,3,0.6,0.6,0.4,0,1,0,1819
Nostocales,0,0.6,11.6,0,0,4.512820513,5,203,0
numerous chloroplasts,106.2,24.2,78.4,118.4,144.2,0,0,0,0
oedogonium,1,0,0.8,0,0.2,3.384615385,0,16,0
Oocystaceae,1.8,12.4,6.2,30.6,4.8,1.692307692,2,3,11
Peranema,0,0,0,0,0,0,2,8,0
Pinnularia,0,0,0,0,0,0,0,0,1
Pteromonas,0,0.4,0,0,0,0,0,0,0
Phacotus,0,0,0,0,0,1.692307692,0,0,2
quads,0,0,0,3,0,0,0,0,0
Radiococcaeaca (numerous chloroplasts),1.4,3.2,0.6,19,1.4,0.564102564,0,0,20
Scenedesnaceae,4.8,1.4,3.6,1.6,8.6,21.43589744,42,60,181
Schroederia,0,0,0,0,0,99.84615385,360,19,656
Small diatom,260.2,153.4,258.6,465.4,425.2,0,0,0,0
Small Green circle,74.6,37.2,38.6,139.4,78.4,37.79487179,138,39,159
sperangium,1.6,17.2,53.4,9.4,7.4,62.05128205,29,62,66
spirogyra,0,0,0,0.2,0,0,0,0,0
Staurastrum,0,0,0,0,0,0,1,0,0
Synedra,0,0,0,0,0,20.87179487,72,32,51
tabellaria,2,0.4,0,0,0.4,0,0,0,0
tiny green circles,30.6,76.6,231.4,92.2,240.6,0,0,0,0
Tribonema,0,1,0,0.2,0,0,0,0,0
Trochiscia,36.2,1.6,19.8,0.2,3.2,80.66666667,17,1,474
very green medium circles,0,2,0,0,0,0,0,0,0